Title,genre,released,score,star,budget,Marketing Spend,Marketing Amount,gross,Profitability,Pre Production Spend,Pre-Production Amount,VFX Spend,VFX Amount,Post Production Spend,Post Production Amount,Music Spend,Music Amount,Distribution,Distribution Amount
The Shining,Drama,"June 13, 1980 (United States)",8.4,Jack Nicholson,19000000,17.5,3325000,46998772,27998772,65,12350000,7.5,1425000,7.5,1425000,4,760000,12.5,2375000
The Blue Lagoon,Adventure,"July 2, 1980 (United States)",5.8,Brooke Shields,4500000,37.5,1687500,58853106,54353106,45,2025000,30,1350000,7.5,337500,4,180000,12.5,562500
Star Wars: Episode V - The Empire Strikes Back,Action,"June 20, 1980 (United States)",8.7,Mark Hamill,18000000,37.5,6750000,538375067,520375067,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Airplane!,Comedy,"July 2, 1980 (United States)",7.7,Robert Hays,3500000,25,875000,83453539,79953539,55,1925000,7.5,262500,7.5,262500,4,140000,12.5,437500
Caddyshack,Comedy,"July 25, 1980 (United States)",7.3,Chevy Chase,6000000,25,1500000,39846344,33846344,55,3300000,7.5,450000,7.5,450000,4,240000,12.5,750000
Friday the 13th,Horror,"May 9, 1980 (United States)",6.4,Betsy Palmer,550000,25,137500,39754601,39204601,45,247500,15,82500,7.5,41250,6,33000,12.5,68750
The Blues Brothers,Action,"June 20, 1980 (United States)",7.9,John Belushi,27000000,37.5,10125000,115229890,88229890,45,12150000,30,8100000,7.5,2025000,4,1080000,12.5,3375000
Raging Bull,Biography,"December 19, 1980 (United States)",8.2,Robert De Niro,18000000,17.5,3150000,23402427,5402427,55,9900000,7.5,1350000,7.5,1350000,4,720000,12.5,2250000
Superman II,Action,"June 19, 1981 (United States)",6.8,Gene Hackman,54000000,37.5,20250000,108185706,54185706,45,24300000,30,16200000,7.5,4050000,4,2160000,12.5,6750000
The Long Riders,Biography,"May 16, 1980 (United States)",7,David Carradine,10000000,17.5,1750000,15795189,5795189,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Any Which Way You Can,Action,"December 17, 1980 (United States)",6.1,Clint Eastwood,15000000,37.5,5625000,70687344,55687344,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
The Gods Must Be Crazy,Adventure,"October 26, 1984 (United States)",7.3,N!xau,5000000,37.5,1875000,30031783,25031783,45,2250000,30,1500000,7.5,375000,4,200000,12.5,625000
Popeye,Adventure,"December 12, 1980 (United States)",5.3,Robin Williams,20000000,37.5,7500000,49823037,29823037,45,9000000,30,6000000,7.5,1500000,4,800000,12.5,2500000
