Title,score,budget,Marketing Amount,gross,Profitability,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded
The Shining,8.4,19000000,3325000,46998772,27998772,12350000,1425000,1425000,760000,2375000,329702400,6,1048
The Blue Lagoon,5.8,4500000,1687500,58853106,54353106,2025000,1350000,337500,180000,562500,331344000,1,328
Star Wars: Episode V - The Empire Strikes Back,8.7,18000000,6750000,538375067,520375067,8100000,5400000,1350000,720000,2250000,330307200,0,1746
Airplane!,7.7,3500000,875000,83453539,79953539,1925000,262500,262500,140000,437500,331344000,4,2247
Caddyshack,7.3,6000000,1500000,39846344,33846344,3300000,450000,450000,240000,750000,333331200,4,411
Friday the 13th,6.4,550000,137500,39754601,39204601,247500,82500,41250,33000,68750,326678400,10,242
The Blues Brothers,7.9,27000000,10125000,115229890,88229890,12150000,8100000,2025000,1080000,3375000,330307200,0,1278
Raging Bull,8.2,18000000,3150000,23402427,5402427,9900000,1350000,1350000,720000,2250000,346032000,3,2241
Superman II,6.8,54000000,20250000,108185706,54185706,24300000,16200000,4050000,2160000,6750000,361756800,0,878
The Long Riders,7,10000000,1750000,15795189,5795189,5500000,750000,750000,400000,1250000,327283200,3,590
Any Which Way You Can,6.1,15000000,5625000,70687344,55687344,6750000,4500000,1125000,600000,1875000,345859200,0,484
The Gods Must Be Crazy,7.3,5000000,1875000,30031783,25031783,2250000,1500000,375000,200000,625000,467596800,1,1950
Popeye,5.3,20000000,7500000,49823037,29823037,9000000,6000000,1500000,800000,2500000,345427200,1,2263
Ordinary People,7.7,6000000,1050000,54766923,48766923,3900000,450000,450000,240000,750000,338169600,6,679
Dressed to Kill,7.1,6500000,1300000,31899000,25399000,3575000,975000,487500,390000,812500,333331200,5,1851
Somewhere in Time,7.2,5100000,892500,9709597,4609597,3315000,382500,382500,204000,637500,339379200,6,466
Fame,6.6,22914608.79,4010056.539,21202829,-1711779.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,327283200,6,708
9 to 5,6.9,10000000,2500000,103300686,93300686,5500000,750000,750000,400000,1250000,346032000,4,1111
The Fog,6.8,1000000,250000,21448782,20448782,450000,150000,75000,60000,125000,318816000,10,25
Stir Crazy,6.8,22607802.13,5651950.532,101300000,78692197.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,345427200,4,879
Cruising,6.5,11000000,2200000,19814523,8814523,6050000,1650000,825000,660000,1375000,319420800,5,38
Heaven's Gate,6.8,44000000,16500000,3484523,-40515477,19800000,13200000,3300000,1760000,5500000,356918400,1,1526
The Final Countdown,6.7,12000000,4500000,16647800,4647800,5400000,3600000,900000,480000,1500000,333936000,0,1515
Xanadu,5.3,20000000,6000000,22762571,2762571,7000000,8000000,2500000,1000000,2500000,334540800,8,2034
Urban Cowboy,6.4,22914608.79,4010056.539,46918287,24003678.21,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,329097600,6,1319
Altered States,6.9,12825159.09,3206289.773,19853892,7028732.909,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,346550400,10,2767
Little Darlings,6.5,22607802.13,5651950.532,34326249,11718446.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,322444800,4,2566
Raise the Titanic,5,36000000,13500000,145508580.8,109508580.8,16200000,10800000,2700000,1440000,4500000,333936000,0,1141
Brubaker,7.2,9000000,1800000,37121708,28121708,4950000,1350000,675000,540000,1125000,330307200,5,2253
American Gigolo,6.2,4800000,960000,22743674,17943674,2640000,720000,360000,288000,600000,318211200,5,2212
My Bodyguard,7.1,22607802.13,5651950.532,22482952,-124850.1291,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,338774400,4,431
Prom Night,5.4,12825159.09,3206289.773,14796236,1971076.909,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,332726400,10,1601
Smokey and the Bandit II,5.3,58084599.21,21781724.7,66132626,8048026.793,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,335145600,0,343
Cattle Annie and Little Britches,6.1,5100000,892500,534816,-4565184,3315000,382500,382500,204000,637500,356918400,6,2373
Seems Like Old Times,6.7,22607802.13,5651950.532,43995918,21388115.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,346032000,4,915
Private Benjamin,6.2,10000000,2500000,69847348,59847348,5500000,750000,750000,400000,1250000,339984000,4,915
The Hollywood Knights,6.3,4000000,1000000,10000000,6000000,2200000,300000,300000,160000,500000,328492800,4,2666
Motel Hell,6,3000000,750000,6342668,3342668,1650000,225000,225000,120000,375000,341193600,4,2284
The Jazz Singer,5.9,22914608.79,4010056.539,27118000,4203391.208,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,346032000,6,1577
Coal Miner's Daughter,7.5,25312316.72,4429655.427,67182787,41870470.28,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,321235200,3,2463
The Watcher in the Woods,6.3,51125000,10225000,5000000,-46125000,23006250,7668750,6390625,3834375,6390625,371433600,7,244
Breaker Morant,7.9,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,331430400,6,722
The Stunt Man,7.1,3500000,1312500,7063886,3563886,1575000,1050000,262500,140000,437500,330912000,0,2127
Where the Buffalo Roam,6.6,25312316.72,4429655.427,6659377,-18652939.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,325468800,3,2115
The Awakening,4.8,12825159.09,3206289.773,8415112,-4410047.091,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,341798400,10,407
Cheech and Chong's Next Movie,6.1,22607802.13,5651950.532,41675194,19067391.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,332726400,4,409
The Island,5.3,22000000,8250000,15716828,-6283172,9900000,6600000,1650000,880000,2750000,329702400,0,1851
The Boogey Man,4.6,300000,75000,47372409.13,47072409.13,135000,45000,22500,18000,37500,342403200,10,2536
The Nude Bomb,5.1,15000000,5625000,14662035,-337965,6750000,4500000,1125000,600000,1875000,326678400,0,671
Lion of the Desert,8.3,35000000,6125000,47874322.87,12874322.87,19250000,2625000,2625000,1400000,4375000,358819200,3,168
Stardust Memories,7.3,10000000,2500000,10389003,389003,5500000,750000,750000,400000,1250000,338774400,4,2779
Melvin and Howard,6.8,7000000,1750000,4309490,-2690510,3850000,525000,525000,280000,875000,338169600,4,2086
Can't Stop the Music,4.2,20000000,3500000,47874322.87,27874322.87,11000000,1500000,1500000,800000,2500000,330307200,3,2181
Bronco Billy,6.1,6500000,2437500,24265659,17765659,2925000,1950000,487500,260000,812500,329529600,0,484
City of Women,7,22607802.13,5651950.532,12516,-22595286.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,355536000,4,1720
The Private Eyes,6.7,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,343612800,4,2613
When Time Ran Out...,4.6,20000000,7500000,3763988,-16236012,9000000,6000000,1500000,800000,2500000,323049600,0,2091
Oh Heavenly Dog,5.4,6000000,1500000,6216067,216067,3300000,450000,450000,240000,750000,332121600,4,411
The Octagon,5.1,4000000,1500000,18971000,14971000,1800000,1200000,300000,160000,500000,335145600,0,472
Hangar 18,5.3,11000000,3300000,32561233.25,21561233.25,3850000,4400000,1375000,550000,1375000,353289600,15,571
Herbie Goes Bananas,5,45708389.06,17140645.9,18000000,-27708389.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,330739200,1,393
The Competition,6.7,22914608.79,4010056.539,14287755,-8626853.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,344649600,6,2209
It's My Turn,5.5,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,350179200,4,1229
Honeysuckle Rose,6.3,22914608.79,4010056.539,17815212,-5099396.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,332726400,6,2774
Resurrection,7.3,22914608.79,4010056.539,3910019,-19004589.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,338774400,6,747
Fatso,6.3,22607802.13,5651950.532,7653061,-14954741.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,318211200,4,664
Moscow Does Not Believe in Tears,8.1,900000,225000,44331874.3,43431874.3,495000,67500,67500,36000,112500,319075200,4,2709
The Fiendish Plot of Dr. Fu Manchu,5.1,22607802.13,5651950.532,10697276,-11910526.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,334540800,4,2130
Serial,6.6,22607802.13,5651950.532,9870727,-12737075.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,323049600,4,1767
Hero at Large,6,22607802.13,5651950.532,15934737,-6673065.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,318816000,4,1313
Wholly Moses!,4.7,22607802.13,5651950.532,14155617,-8452185.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,329702400,4,695
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",7.3,75785197.13,15157039.43,2013193,-73772004.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,328492800,2,2371
In God We Trust (or Gimme That Prime Time Religion),5.5,22607802.13,5651950.532,5215015,-17392787.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,338774400,4,1772
Roadie,5.2,22607802.13,5651950.532,4226370,-18381432.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,329702400,4,1816
Just Tell Me What You Want,5.5,22607802.13,5651950.532,2086905,-20520897.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,317001600,4,76
The Last Flight of Noah's Ark,5.8,6000000,2250000,11000000,5000000,2700000,1800000,450000,240000,750000,330739200,1,750
Little Miss Marker,6.3,22607802.13,5651950.532,6321392,-16286410.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,322444800,4,2738
Willie & Phil,5.9,5500000,1375000,4400000,-1100000,3025000,412500,412500,220000,687500,335145600,4,1876
Babylon,7.4,22914608.79,4010056.539,109749,-22804859.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,987724800,6,602
Windwalker,6.9,3000000,1125000,109325230.2,106325230.2,1350000,900000,225000,120000,375000,437961600,1,2682
Phobia,4,5100000,892500,59167,-5040833,3315000,382500,382500,204000,637500,337305600,6,2090
Windows,4.8,22914608.79,4010056.539,2128395,-20786213.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,317001600,6,2554
Loving Couples,5.2,22607802.13,5651950.532,2806659,-19801143.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,341193600,4,2447
The King and the Mockingbird,7.9,75785197.13,15157039.43,167451,-75617746.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,322272000,2,1154
"Oh, God! Book II",5.2,22607802.13,5651950.532,14504277,-8103525.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,339379200,4,883
"Those Lips, Those Eyes",6.5,22607802.13,5651950.532,804713,-21803089.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,335145600,4,838
La Cage aux Folles II,5.8,22607802.13,5651950.532,6950125,-15657677.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,351043200,4,1895
The Gong Show Movie,4.3,22607802.13,5651950.532,6621520,-15986282.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,327888000,4,470
Gilda Live,6.8,22607802.13,5651950.532,2261507,-20346295.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,323049600,4,901
Why Would I Lie?,6.5,22607802.13,5651950.532,1175855,-21431947.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,334540800,4,2681
First Family,4.3,22607802.13,5651950.532,15198912,-7408890.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,346550400,4,282
Mantis Fist Fighter,6.7,58084599.21,21781724.7,145508580.8,87423981.64,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,395020800,0,1412
Indiana Jones and the Raiders of the Lost Ark,8.4,18000000,6750000,389925971,371925971,8100000,5400000,1350000,720000,2250000,361152000,0,960
Body Heat,7.4,22363565.63,4472713.126,24058838,1695272.37,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,367804800,5,2767
An American Werewolf in London,7.5,10000000,2500000,30669378,20669378,5500000,750000,750000,400000,1250000,367200000,4,603
Escape from New York,7.2,6000000,2250000,25244626,19244626,2700000,1800000,450000,240000,750000,363571200,0,1543
The Evil Dead,7.5,350000,87500,2956630,2606630,157500,52500,26250,21000,43750,419212800,10,330
Porky's,6.2,2500000,625000,111289673,108789673,1375000,187500,187500,100000,312500,385344000,4,535
Blow Out,7.4,18000000,3600000,12000000,-6000000,9900000,2700000,1350000,1080000,2250000,364780800,5,1319
Clash of the Titans,6.9,15000000,5625000,41092328,26092328,6750000,4500000,1125000,600000,1875000,361152000,0,1577
Excalibur,7.4,11000000,4125000,34971136,23971136,4950000,3300000,825000,440000,1375000,355708800,1,2004
Mad Max 2,7.6,3000000,1125000,23668369,20668369,1350000,900000,225000,120000,375000,390787200,0,1827
Das Boot,8.3,45708389.06,17140645.9,11487676,-34220713.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,382147200,1,1411
Stripes,6.9,10000000,2500000,85297000,75297000,5500000,750000,750000,400000,1250000,362361600,4,255
Possession,7.4,22914608.79,4010056.539,1113538,-21801070.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,436147200,6,1037
