Title,score,budget,gross,Profitability,Marketing Amount,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded,success
The Shining,8.4,0.053370787,0.016506747,0.067200607,0.024906367,0.077091136,0.012179487,0.053370787,0.053370787,0.053370787,329702400,6,1048,0
The Blue Lagoon,5.8,0.012640449,0.020670185,0.076720728,0.012640449,0.012640449,0.011538462,0.012640449,0.012640449,0.012640449,331344000,1,328,1
Star Wars: Episode V - The Empire Strikes Back,8.7,0.050561798,0.189086236,0.245064395,0.050561798,0.050561798,0.046153846,0.050561798,0.050561798,0.050561798,330307200,0,1746,1
Airplane!,7.7,0.009831461,0.029310264,0.085968513,0.006554307,0.01201623,0.00224359,0.009831461,0.009831461,0.009831461,331344000,4,2247,1
Caddyshack,7.3,0.016853933,0.013994696,0.069312958,0.011235955,0.020599251,0.003846154,0.016853933,0.016853933,0.016853933,333331200,4,411,1
Friday the 13th,6.4,0.001544944,0.013962474,0.07124855,0.001029963,0.001544944,0.000705128,0.001544944,0.002317416,0.001544944,326678400,10,242,1
The Blues Brothers,7.9,0.075842697,0.040470645,0.088958224,0.075842697,0.075842697,0.069230769,0.075842697,0.075842697,0.075842697,330307200,0,1278,1
Raging Bull,8.2,0.050561798,0.00821932,0.059038006,0.023595506,0.061797753,0.011538462,0.050561798,0.050561798,0.050561798,346032000,3,2241,0
Superman II,6.8,0.151685393,0.037996611,0.076660257,0.151685393,0.151685393,0.138461538,0.151685393,0.151685393,0.151685393,361756800,0,878,0
The Long Riders,7.0,0.028089888,0.005547532,0.059179885,0.013108614,0.034332085,0.006410256,0.028089888,0.028089888,0.028089888,327283200,3,590,0
Any Which Way You Can,6.1,0.042134831,0.024826565,0.077202702,0.042134831,0.042134831,0.038461538,0.042134831,0.042134831,0.042134831,345859200,0,484,1
The Gods Must Be Crazy,7.3,0.014044944,0.010547659,0.066128826,0.014044944,0.014044944,0.012820513,0.014044944,0.014044944,0.014044944,467596800,1,1950,1
Popeye,5.3,0.056179775,0.017498675,0.067859597,0.056179775,0.056179775,0.051282051,0.056179775,0.056179775,0.056179775,345427200,1,2263,0
Ordinary People,7.7,0.016853933,0.01923505,0.0747028,0.007865169,0.024344569,0.003846154,0.016853933,0.016853933,0.016853933,338169600,6,679,1
Dressed to Kill,7.1,0.018258427,0.011203457,0.066261477,0.009737828,0.022315855,0.008333333,0.018258427,0.02738764,0.018258427,333331200,5,1851,1
Somewhere in Time,7.2,0.014325843,0.003410171,0.058751607,0.006685393,0.020692884,0.003269231,0.014325843,0.014325843,0.014325843,339379200,6,466,0
Fame,6.6,0.064366879,0.007446785,0.056468102,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,327283200,6,708,0
9 to 5,6.9,0.028089888,0.036280911,0.090789976,0.018726592,0.034332085,0.006410256,0.028089888,0.028089888,0.028089888,346032000,4,1111,1
The Fog,6.8,0.002808989,0.007533167,0.064473283,0.001872659,0.002808989,0.001282051,0.002808989,0.004213483,0.002808989,318816000,10,25,1
Stir Crazy,6.8,0.063505062,0.035578237,0.085512871,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,345427200,4,879,1
Cruising,6.5,0.030898876,0.006959188,0.060270576,0.016479401,0.037765293,0.014102564,0.030898876,0.046348315,0.030898876,319420800,5,38,0
Heaven's Gate,6.8,0.123595506,0.001223822,0.04245083,0.123595506,0.123595506,0.112820513,0.123595506,0.123595506,0.123595506,356918400,1,1526,0
The Final Countdown,6.7,0.033707865,0.005846983,0.058765408,0.033707865,0.033707865,0.030769231,0.033707865,0.033707865,0.033707865,333936000,0,1515,0
Xanadu,5.3,0.056179775,0.007994592,0.058084396,0.04494382,0.043695381,0.068376068,0.093632959,0.070224719,0.056179775,334540800,8,2034,0
